table	category	scope_source	tenant_id	workspace_id	parent_derived	read_write_paths	worker_path	rls_required	policy_shape	test	reason
audit.event	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; composite FK to tenant_management.workspace.	yes	yes	no	src/main/java/com/nexa/api/businesstraceability/infrastructure/persistence/JdbcAuditViewerQueryAdapter.java;src/main/java/com/nexa/api/businesstraceability/infrastructure/persistence/JdbcBusinessTraceabilityAdapter.java;src/main/java/com/nexa/api/businesstraceability/application/service/AuditViewerService.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcSecurityAuditAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/application/port/out/SecurityAuditPort.java	No cross-scope worker; request-scoped business traceability/security audit append.	yes	direct scope USING+WITH CHECK; existing append-only trigger retained	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	Append-only audit events carry their own direct scope; the additive policy confines reads/writes while the existing mutation trigger remains authoritative.
catalog_management.brand	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogTaxonomyAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/CatalogSkuService.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogProductAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogPersistenceBootstrap.java	CatalogPersistenceBootstrap.importDeterministicSeed enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	brand is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.category	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogPersistenceBootstrap.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogTaxonomyAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/CatalogSkuService.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogProductAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPromotionAdapter.java	CatalogPersistenceBootstrap.importDeterministicSeed enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	category is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.command_idempotency	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/CatalogCommandIdempotencySupport.java	No cross-scope worker path found; request-scoped Catalog query/command adapters.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	command_idempotency is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.product	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/businessdocuments/infrastructure/subject/JdbcDocumentProjectionLookupAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcSellableSkuQuery.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/CatalogSkuService.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogProductAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogPricingPreviewAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogVariantAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPromotionAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPricingAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogPersistenceBootstrap.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java	CatalogPersistenceBootstrap.importDeterministicSeed enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	product is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.product_asset_reference	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogPersistenceBootstrap.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/CatalogSkuService.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogProductAdapter.java	CatalogPersistenceBootstrap.importDeterministicSeed enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	product_asset_reference is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.product_family	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcSellableSkuQuery.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/CatalogSkuService.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogVariantAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPricingAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java;src/main/java/com/nexa/api/businessdocuments/infrastructure/subject/JdbcDocumentProjectionLookupAdapter.java	CatalogSkuPersistenceBootstrap.reconcile enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	product_family is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.product_presentation	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogPersistenceBootstrap.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogProductAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPricingAdapter.java	CatalogPersistenceBootstrap.importDeterministicSeed enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	product_presentation is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.product_price	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogPricingPreviewAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPricingAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogProductAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogPersistenceBootstrap.java	CatalogPersistenceBootstrap.importDeterministicSeed enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	product_price is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.product_variant	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/CatalogSkuService.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogVariantAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java	CatalogSkuPersistenceBootstrap.reconcile enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	product_variant is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
