table	category	tenant_id	workspace_id	rls_enabled	rls_forced	policy
audit.event	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
business_documents.business_document	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
business_documents.document_generation_request	CROSS_SCOPE_WORKER	t	t	f	f	NONE
business_documents.evidence_object	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
business_documents.object_storage_object	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.brand	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.category	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.command_idempotency	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.product	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.product_asset_reference	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.product_family	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.product_presentation	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.product_price	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.product_variant	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.product_visibility	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.promotion	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.promotion_category	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.promotion_client_account	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.promotion_product	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.promotion_rule	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.promotion_sku	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.seed_import_history	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.sellable_sku	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
catalog_management.sku_price	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
iam.access_context_selection_ticket	GLOBAL_IDENTITY_SECURITY	f	f	f	f	NONE
iam.authentication_failure	GLOBAL_IDENTITY_SECURITY	f	f	f	f	NONE
iam.password_credential	GLOBAL_IDENTITY_SECURITY	f	f	f	f	NONE
iam.password_reset_request	GLOBAL_IDENTITY_SECURITY	f	f	f	f	NONE
iam.password_reset_throttle_bucket	TECHNICAL_GLOBAL	f	f	f	f	NONE
iam.public_contact_request	TECHNICAL_GLOBAL	f	f	f	f	NONE
iam.public_contact_throttle_bucket	TECHNICAL_GLOBAL	f	f	f	f	NONE
iam.refresh_session	GLOBAL_IDENTITY_SECURITY	f	f	f	f	NONE
iam.security_audit_event	GLOBAL_IDENTITY_SECURITY	t	t	f	f	NONE
iam.security_notification_outbox	CROSS_SCOPE_WORKER	f	f	f	f	NONE
iam.system_operator_throttle_bucket	TECHNICAL_GLOBAL	f	f	f	f	NONE
iam.user_account	GLOBAL_IDENTITY_SECURITY	f	f	f	f	NONE
iam.workspace_preview_throttle_bucket	TECHNICAL_GLOBAL	f	f	f	f	NONE
integration.change_event	CROSS_SCOPE_WORKER	t	t	f	f	NONE
integration.inbox_event	CROSS_SCOPE_WORKER	t	t	f	f	NONE
integration.outbox_event	CROSS_SCOPE_WORKER	t	t	f	f	NONE
logistics.buyer_receipt_fact	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.command_idempotency	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.continuation_delivery	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
